NBI DATA - Western Washington,,,,,,,ADT parameter,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"move to left, filter by < than",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHECK FILTERS IN THESE CELLS,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130
1,1,,00000000,#N/A,47.29477778,-124.0662222,0,1,0,53,00000000000P004,1,6,1,26,0,0,27,46405,'NORTH MOCLIPS RIVER',,'IRR BIA RTE 26','15 KM N.E. OF MOCLIPS',99.99,13.8,0,0,0,47174120,124035840,5,3,62,62,7,1965,2,0,375,2021,5,7.3,0,0,0,0,0,1,1,5,N,0,0,A,1,5,1,4,0,0,2,0,7.3,7.6,15.5,0.7,0.7,7.3,8.2,99.99,N,0,N,0,0,6,7,6,6,N,1,36,1,27,6,5,N,5,8,8,,,0,921,24,N  ,N  ,N  ,,,,0,0,0,2021,,0,               ,0,N,2,,0,1,0,1,1,0,0,30,0,,Y,8,437,2040,0,Y,62,F,6,127.1
1,1,,00000000,#N/A,47.33805278,-124.0327417,0,1,0,53,00000000000P005,1,6,1,26,0,0,27,48330,'RED CREEK',,'IRR BIA RTE 26','23 KM NE OF MOCLIPS',99.99,21.7,0,0,0,47201699,124015787,14,3,62,62,7,1964,2,0,375,2021,0,9.1,0,0,0,0,0,1,0,5,N,0,0,A,1,5,1,4,0,0,3,0,7.3,7.6,23.2,0.5,0.5,7.3,8.3,99.99,N,0,N,0,0,6,7,6,6,N,1,44.1,1,32.4,6,5,N,5,8,8,,,0,921,24,N  ,N  ,N  ,,,,0,0,0,2021,,0,               ,0,N,2,,0,1,0,1,1,0,0,30,0,,Y,8,700,2040,0,Y,62,F,6,192.56
1,1,,00000000,#N/A,47.34755556,-124.0077278,0,1,0,53,00000000000P006,1,6,1,26,0,0,27,48330,'ELK CREEK',,'IRR BIA RTE 26','26 KM NE OF MOCLIPS',99.99,27.2,0,0,0,47205120,124002782,15,3,62,62,7,1964,2,0,375,2021,5,9.1,0,0,0,0,0,1,1,5,N,0,0,A,1,5,1,2,0,0,3,0,7.3,7.6,23.2,0.7,0.7,7.4,8.7,99.99,N,0,N,0,0,6,7,6,6,N,1,43.2,1,32.4,6,5,N,5,8,6,,,0,921,24,N  ,N  ,N  ,,,,0,0,0,2021,,0,               ,0,N,2,,0,1,0,1,1,0,0,30,0,,Y,8,437,2040,0,Y,62,F,6,201.84
1,1,,00000000,#N/A,47.25280556,-124.1743611,0,1,0,53,00000000000P008,1,6,1,2,0,0,27,46405,'NORTH FORK MOCLIPS RIVER',,'IRR BIA RTE 2','4 KM N.E. OF MOCLIPS',99.99,1,0,0,0,47151010,124102770,18,3,62,62,9,1984,2,0,160,2021,5,11,0,0,0,1,1,0,0,5,N,0,0,A,1,5,5,2,0,0,1,0,8.5,29.6,30.5,0.5,0.5,8.5,9.5,99.99,N,0,N,0,0,7,7,7,5,N,1,43.2,1,32.4,7,6,N,5,8,6,,,0,921,24,N  ,N  ,N  ,,,,0,0,0,2021,,0,               ,0,N,2,,0,1,0,1,1,0,0,40,0,,Y,8,300,2040,0,Y,62,G,7,289.75
1,1,,00000000,#N/A,47.35775278,-123.9907278,0,1,0,53,00000000000P009,1,6,1,26,0,3,27,48330,'COOK CREEK',,'IRR BIA RTE 26','25.7 KM NE COPALIS X-ING',99.99,25.7,0,0,0,47212791,123592662,72,3,62,62,7,2002,2,0,605,2021,9,9.8,0,0,0,1,1,1,1,5,0,0,0,A,1,5,5,4,0,0,1,0,9.8,36.4,37.9,2.3,0.5,11,13.7,99.99,N,0,N,0,0,7,7,7,7,N,1,89.9,1,60.3,7,7,N,5,8,8,,,0,921,24,N  ,N  ,N  ,,,,0,0,0,2021,,0,               ,0,N,2,,0,1,0,2,6,9,1,25,0,,Y,8,707,2040,0,Y,62,G,7,519.23
1,1,,00000000,#N/A,47.42814167,-123.9142472,0,1,0,53,00000000000P012,1,6,1,18,0,0,27,48330,'BOULDER CREEK',,'IRR BIA RTE 18','4 KM S OF AMANDA PARK JCT',99.99,7.6,0,0,0,47254131,123545129,8,3,62,62,9,1980,2,0,50,2021,5,8.4,0,0,0,1,0,0,0,5,N,0,0,A,1,5,5,5,0,0,1,0,7.9,21.9,22.9,0.4,0.4,7.9,8.2,99.99,N,0,N,0,0,7,7,7,6,N,1,43.2,1,32.4,7,6,N,5,8,8,,,0,921,24,N  ,N  ,N  ,,,,0,0,0,2021,,0,               ,0,N,2,,0,1,0,2,6,0,0,20,0,,Y,8,68,2040,0,Y,62,G,7,187.78
0,0,,00000000,#N/A,47.35098611,-124.154725,0,1,0,53,00000000000P013,1,6,1,2,0,0,27,70175,'RAILROAD CREEK',,'IRR BIA RTE 2','16 KM NORTH OF MOCLIPS',99.99,13.2,0,0,0,47210355,124091701,18,3,62,62,9,1984,2,0,160,2021,5,7.9,0,26,0,1,1,1,0,5,N,0,0,A,1,5,5,2,0,0,1,0,7.9,21.6,22.6,0.5,0.5,8.5,9.5,99.99,N,0,N,0,0,7,7,7,7,N,0,36.2,0,32.6,7,6,N,5,8,8,,,0,921,24,N  ,N  ,N  ,,,,0,0,0,2021,,0,               ,0,N,2,,0,1,0,1,1,0,0,20,0,,Y,8,176,2040,0,Y,62,G,7,214.7
1,0,,00000000,#N/A,47.30188889,-124.0613889,0,1,0,53,00000000000P020,1,6,1,26,0,0,27,46405,'HALL CREEK',,'IRR BIA RTE 26','15 KM N.E. OF MOCLIPS',99.99,11.6,0,0,0,47180680,124034100,5,3,62,62,7,1994,2,0,365,2021,0,8.5,0,5,0,0,0,1,1,5,N,0,0,A,1,5,9,19,0,0,3,0,9.3,1.5,6.5,0,0,8.5,8.5,99.99,N,0,N,0,0,N,N,N,7,6,3,89.8,3,89.8,6,6,N,5,6,8,,,0,921,24,N  ,N  ,N  ,,,,0,0,0,2021,,0,               ,0,N,2,,0,1,0,N,N,N,N,15,0,,Y,8,700,2040,0,Y,62,F,6,55.25
1,1,,00000000,#N/A,47.32356667,-123.1478667,0,1,0,53,00000000000P030,1,6,1,8,0,3,45,64785,'SKOBOB CREEK',,'IRR BIA RTE 8','SKOKOMISH TRIBAL CENTER',99.99,0.5,0,0,0,47192484,123085232,4,3,62,62,8,1998,2,0,525,2021,5,9.5,0,0,0,1,1,1,1,5,N,0,0,A,1,5,5,4,0,0,1,0,8.5,29.3,30.5,2,0,8.5,11.4,99.99,N,0,N,0,0,7,7,7,8,N,1,70.3,1,42.1,7,5,N,5,7,4,,,0,921,24,N  ,N  ,N  ,,,,0,0,0,2021,,0,               ,0,N,2,,0,1,0,2,6,8,1,10,0,,Y,8,613,2040,0,Y,62,G,7,347.7
1,0,,00000000,#N/A,48.34675,-124.6628056,0,1,0,53,00000000000P061,1,6,1,1,0,0,9,48295,'WA-ATCH RIVER',,'IRR BIA RTE 1','4 KM S.W. OF NEAH BAY',99.99,9.5,0,0,0,48204830,124394610,3,3,62,62,9,1961,2,0,300,2021,0,6,0,0,0,1,1,0,0,5,N,0,0,P,1,5,1,2,0,0,7,0,7.2,7.6,53.6,0.4,0.4,7.2,8,99.99,N,0,N,0,0,5,4,7,7,N,4,49,4,37.2,4,4,N,5,7,8,31,1,60,921,24,N  ,Y60,N  ,,819,,0,0,1590,2021,,0,               ,0,N,2,,0,1,0,1,1,0,0,5,0,,Y,5,400,2039,0,Y,62,P,4,428.8
0,0,,00000000,#N/A,48.31172222,-124.6562222,0,1,0,53,00000000000P071,1,6,1,1,0,9,9,48295,'SOOES   RIVER',,'IRR BIA RTE    1','8 KM  S.W.  OF  NEAH  BAY',99.99,13.8,0,0,0,48184220,124392240,199,3,62,62,9,1961,2,0,300,2021,0,5.8,0,0,0,1,1,0,0,5,N,0,0,P,1,5,5,2,1,2,2,4,5.8,18.1,68.9,0.4,0.4,7.2,8.1,99.99,N,0,N,0,0,6,7,7,7,N,0,32.6,0,24.5,6,4,N,5,7,5,35,1,90,921,24,N  ,Y60,N  ,,819,,0,0,27,2021,,0,               ,0,N,2,,0,1,2001,2,1,0,1,15,0,,Y,5,360,2039,0,Y,62,F,6,558.09
0,0,,00000000,#N/A,48.35044444,-124.6455556,0,1,0,53,00000000000P082,1,6,1,1102,0,0,9,48295,'WA-ATCH RIVER',,'BIA ROUTE 1102','3 KM SW OF NEAH BAY',99.99,3.1,0,0,0,48210160,124384400,2,3,62,62,9,2010,2,0,300,2021,0,11.9,0,0,0,1,1,1,1,5,0,0,0,A,1,5,5,2,0,0,3,0,12.1,18.4,57.6,0,0,12.1,13,99.99,N,0,N,0,0,7,7,8,7,N,3,68.9,3,53.1,7,9,N,5,8,8,,,0,921,24,N  ,N  ,N  ,,,,0,0,0,2021,,0,               ,0,N,2,,0,1,0,2,6,0,0,5,0,,Y,8,334,2040,0,Y,62,G,7,748.8
0,0,,00000000,#N/A,48.33846667,-118.9778667,0,1,0,53,00000000000P340,1,6,1,116,0,0,11,90704,'STEPSTONE CREEK',,'IRR ROUTE 116','13 KM NORTH OF NESPELEM',99.99,4.5,0,0,0,48201848,118584032,40,3,62,62,9,1998,2,0,50,2021,9,7,0,0,0,0,0,0,0,5,0,0,0,A,1,5,3,19,0,0,1,0,7,8.1,8.5,0,0,7,7,99.99,N,0,N,0,0,N,N,N,8,5,4,65.9,4,50.7,5,5,N,5,9,6,,,0,721,24,N  ,N  ,N  ,,,,0,0,0,2021,,0,               ,0,N,2,,0,1,0,N,8,N,0,30,0,,Y,5,100,2041,0,Y,62,F,5,59.5
0,0,,000000AB,5/822N-E,48.783,-122.4858889,0,1,1,53,000000AB0000000,1,1,7,5,0,1,73,0,'SR 539  CREEK',,'I-5 OFF RAMP','1.4 N JCT SR 542',99.99,0.161,0,,,48465880,122290920,2,3,1,1,11,1988,1,6,5084,2019,6,9.1,0,2,0,1,1,1,1,5,N,0,0,A,1,6,6,2,0,0,4,0,7.9,39.3,158.5,0,0,7.9,8.9,99.99,H,5.21,H,1.8,0,7,6,7,8,N,1,60.8,1,36.3,6,8,4,5,8,8,35,1,158.5,421,24,N  ,N  ,N  ,,,,3328,666,6656,2014,,,               ,0,N,1,,1,0,0,1,1,0,1,2,1,,Y,8,7300,2039,,N,53,F,6,1410.65
0,0,,000000BG,161/3,46.87641944,-122.28175,0,1,1,53,000000BG0000000,1,3,1,161,0,3,53,0,'OHOP CREEK',,'SR 161','4.3 N JCT SR 7',99.99,6.872,1,,0,46523511,122165430,5,3,1,1,6,1900,2,0,8193,2019,2,9.4,0,0,0,1,1,1,0,5,0,0,0,A,1,5,2,4,0,0,1,2,9.1,13.7,17.1,0,0,9.1,9.8,99.99,N,0,N,0,0,6,7,6,6,N,0,29.9,0,18.1,4,3,N,5,6,8,35,1,17.1,921,24,N  ,N  ,N  ,,,,370,74,739,2014,,,               ,0,N,2,,0,0,0,1,6,2,0,8,1,,Y,3,11863,2039,,N,53,F,6,167.58
0,0,,000000BK,203/12,47.60633333,-121.9139167,0,1,1,53,000000BK0000000,1,3,1,203,0,1,33,0,'CREEK',,'SR 203','3.0 N JCT SR 202',99.99,4.828,1,,0,47362280,121545010,19,3,1,1,6,1945,2,0,7783,2019,0,9.8,0,0,0,1,0,1,0,5,0,0,0,A,1,5,7,2,0,0,3,0,9.1,5.2,15.8,0,0,9.1,9.3,99.99,N,0,N,0,0,5,7,6,8,N,2,34.5,2,22.7,5,3,N,5,6,8,35,1,15.8,721,24,N  ,N  ,N  ,,,,354,71,707,2014,,,               ,0,N,2,,0,0,0,8,6,0,0,10,1,,Y,U,10989,2039,,N,53,F,5,146.94
0,0,,000000BL,203/20,47.67805556,-121.9073333,0,1,1,53,000000BL0000000,1,3,1,203,0,1,33,0,'HARRIS CREEK',,'SR 203','8.1 N JCT SR 202',99.99,13.068,1,,0,47404100,121542640,21,3,1,1,6,1945,2,0,9761,2019,0,8.5,0,0,0,0,0,1,0,5,0,0,0,A,1,5,7,2,0,0,3,0,9.1,6.1,17.7,0,0,9.1,9.2,99.99,N,0,N,0,0,7,6,7,8,N,2,39.9,2,27.2,6,3,N,5,6,6,35,1,17.7,721,24,N  ,N  ,N  ,,,,348,70,696,2014,,,               ,0,N,2,,0,0,0,8,6,0,0,8,1,,Y,U,13782,2039,,N,53,F,6,162.84
0,0,,000000CN,508/14,46.61063333,-122.5817222,0,1,0,53,000000CN0000000,1,3,1,508,0,4,41,0,'KEARNEY CREEK',,'SR 508','16.0 E JCT I-5',99.99,25.701,0,,,46363828,122345420,23,3,1,1,7,1937,2,0,1599,2019,0,8.2,0,0,0,1,1,1,1,5,0,0,0,A,1,5,7,2,0,0,2,0,6.6,4.9,9.8,0,0,6.6,6.9,99.99,N,0,N,0,0,7,7,6,6,N,2,42.6,2,29.9,6,2,N,5,6,8,35,1,9.8,321,24,N  ,N  ,N  ,,,,186,37,371,2014,,,               ,0,N,2,,0,0,0,8,6,0,0,7,0,,Y,U,2059,2039,,N,53,F,6,67.62
1,0,,000000CO,508/16,46.60459167,-122.5341972,0,1,0,53,000000CO0000000,1,3,1,508,0,4,41,0,'MILL CREEK',,'SR 508','18.3 E JCT I-5',99.99,29.483,0,,,46361653,122320311,56,3,1,1,7,1937,2,0,1178,2019,0,7.3,0,0,0,1,1,1,1,5,0,0,0,A,1,5,7,2,0,0,2,0,6.6,4.9,9.8,0,0,6.6,6.6,99.99,N,0,N,0,0,6,7,6,7,N,2,41.7,2,29,6,2,N,5,6,8,35,1,9.8,321,24,N  ,N  ,N  ,,,,166,33,333,2014,,,               ,0,N,2,,0,0,0,8,6,0,0,8,0,,Y,U,1517,2039,,N,53,F,6,64.68
0,0,,000000CP,507/5W,46.72166667,-122.9516667,0,1,0,53,000000CP0000000,1,3,1,507,0,4,41,0,'CHINA CRK',,'SR 507 & PEARL ST','0.7 S JCT SR 507',99.99,4.796,0,,,46431800,122570600,2,3,1,1,16,1918,2,0,6078,2019,0,12.2,0,45,0,N,N,N,N,5,0,0,0,A,5,5,1,4,0,0,1,0,12.2,8.5,9.1,3,3,12.2,18.3,99.99,N,0,N,0,0,6,5,6,8,N,1,54.4,1,32.7,5,7,N,5,6,8,35,1,9.1,921,24,N  ,N  ,N  ,,,,252,50,504,2014,,,               ,0,N,1,,0,0,0,1,6,0,0,5,0,,Y,5,7828,2039,,N,53,F,5,166.53
0,0,,000000CQ,508/23,46.60427778,-122.4510833,0,1,0,53,000000CQ0000000,1,3,1,508,0,4,41,0,'ALDER CREEK',,'SR 508','22.7 E JCT I-5',99.99,36.452,0,,,46361540,122270390,56,3,1,1,7,1937,2,0,1178,2019,0,6.4,0,0,0,1,1,1,1,5,0,0,0,A,1,5,7,2,0,0,3,0,5.9,8.8,26.8,0,0,6,6.4,99.99,N,0,N,0,0,6,6,6,6,N,2,41.7,2,29.9,6,2,N,5,8,8,35,1,26.8,220,24,N  ,N  ,N  ,,,,405,81,810,2014,,,               ,0,N,2,,0,0,0,8,6,0,0,8,0,,Y,3,1517,2039,,N,53,F,6,171.52
0,0,,000000EE,112/15,48.25333333,-124.2661667,0,1,0,53,000000EE0000000,1,3,1,112,0,3,9,0,'CREEK',,'SR 112','16.4 E MAKAH RES',99.99,26.554,0,,,48151200,124155820,159,3,1,1,7,1936,2,0,1746,2019,0,8.5,0,0,0,0,0,0,0,5,0,0,0,A,5,5,7,2,0,0,3,0,7.6,5.8,18,1.2,0.2,7.6,9,99.99,N,0,N,0,0,7,7,7,8,N,2,45.4,2,30.8,7,4,N,5,8,8,35,1,18,920,24,N  ,N  ,N  ,,,,354,71,708,2014,,,               ,0,N,2,,0,0,0,8,6,0,0,23,0,,Y,3,2185,2039,,N,53,G,7,162
0,0,,000000EI,165/16,47.10011111,-122.0456389,0,1,0,53,000000EI0000000,1,3,1,165,0,3,53,0,'WILKESON CREEK',,'SR 165','16.4 N RAINIER PARK',99.99,26.361,0,,,47060040,122024430,3,3,1,1,16,1918,2,0,2068,2019,2,6.1,0,0,0,0,0,1,0,5,0,0,0,A,1,5,1,11,0,0,1,0,6.1,12.2,13.7,0,0,6.1,6.6,99.99,N,0,N,0,0,N,6,6,5,N,1,89.8,1,59.9,6,2,N,5,8,8,35,1,13.7,520,24,N  ,N  ,N  ,,,,198,40,396,2014,,,               ,0,N,2,,0,0,0,N,N,N,N,6,0,,Y,3,2994,2039,,N,53,F,6,90.42
